City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talnakh,69.4865,88.3972,-24.77,99,100,4.01,RU,1701895499
1,port-aux-francais,-49.35,70.2167,4.75,85,100,8.98,TF,1701895499
2,campbellton,48.0075,-66.6727,-6.75,78,10,3.72,CA,1701895499
3,anadyr,64.75,177.4833,-20.56,76,100,15.0,RU,1701895499
4,edinburgh of the seven seas,-37.0676,-12.3116,14.35,76,10,8.1,SH,1701895499
5,jamestown,42.097,-79.2353,0.85,76,100,5.66,US,1701895368
6,pisco,-13.7,-76.2167,24.03,64,0,8.75,PE,1701895499
7,ilulissat,69.2167,-51.1,-1.99,50,75,4.12,GL,1701895500
8,san luis de la loma,17.2706,-100.8939,29.02,66,100,1.51,MX,1701895500
9,kapuskasing,49.4169,-82.4331,-6.0,73,100,5.66,CA,1701895339
10,rabo de peixe,37.8,-25.5833,19.73,99,75,7.2,PT,1701895336
11,darwin,-12.4611,130.8418,25.99,89,75,2.57,AU,1701895228
12,nova sintra,14.8667,-24.7167,21.73,72,100,7.29,CV,1701895500
13,albany,42.6001,-73.9662,0.36,88,99,0.89,US,1701895500
14,invercargill,-46.4,168.35,11.78,64,83,7.72,NZ,1701895500
15,adamstown,-25.066,-130.1015,22.96,78,100,5.06,PN,1701895500
16,ta`u,-14.2336,-169.5144,26.78,84,37,5.71,AS,1701895500
17,saint-pierre,-21.3393,55.4781,25.32,65,100,2.57,RE,1701895501
18,east london,-33.0153,27.9116,20.11,83,90,9.01,ZA,1701895501
19,hermanus,-34.4187,19.2345,18.09,84,3,5.11,ZA,1701895501
20,khovd,48.0056,91.6419,2.16,38,11,10.4,MN,1701895501
21,kerikeri,-35.2268,173.9474,18.28,83,18,0.89,NZ,1701895501
22,codrington,-38.2667,141.9667,12.54,72,100,1.27,AU,1701895502
23,anyksciai,55.5256,25.1026,-9.76,94,51,3.66,LT,1701895503
24,west island,-12.1568,96.8225,26.99,83,100,3.6,CC,1701895504
25,viedma,-40.8135,-62.9967,24.88,37,100,6.42,AR,1701895504
26,smithers,54.7804,-127.1743,2.18,80,20,1.54,CA,1701895505
27,san antonio de pale,-1.4014,5.6325,27.0,79,25,4.85,GQ,1701895505
28,lethem,3.3803,-59.7968,32.54,47,77,3.21,GY,1701895505
29,qaqortoq,60.7167,-46.0333,1.72,60,100,4.42,GL,1701895506
30,coahuayana de hidalgo,18.7,-103.6583,32.31,42,100,1.72,MX,1701895506
31,grytviken,-54.2811,-36.5092,0.06,76,53,4.61,GS,1701895506
32,orenburg,51.7727,55.0988,-11.99,97,48,0.49,RU,1701895507
33,constantia,44.1833,28.65,5.39,83,100,8.43,RO,1701895507
34,iqaluit,63.7506,-68.5145,-13.15,85,20,3.09,CA,1701895507
35,ust-nera,64.5667,143.2,-46.04,90,13,0.88,RU,1701895507
36,ola,59.5833,151.2833,-16.84,67,100,6.24,RU,1701895508
37,zugdidi,42.5088,41.8709,10.78,94,100,0.57,GE,1701895508
38,tura,25.5198,90.2201,19.84,71,100,0.77,IN,1701895508
39,port hedland,-20.3167,118.5667,25.03,88,45,2.06,AU,1701895508
40,hawaiian paradise park,19.5933,-154.9731,25.57,87,40,0.89,US,1701895509
41,leava,-14.3,-178.1667,28.31,70,95,5.73,WF,1701895509
42,hasaki,35.7333,140.8333,9.22,70,96,8.72,JP,1701895509
43,ushuaia,-54.8,-68.3,10.79,66,0,12.35,AR,1701895510
44,saipan,15.1355,145.701,26.39,89,20,4.12,MP,1701895510
45,jalalabad,34.4265,70.4515,12.74,24,0,0.03,AF,1701895510
46,puerto armuelles,8.2833,-82.8667,29.99,68,20,1.34,PA,1701895462
47,sangin,32.0728,64.8359,10.82,28,0,0.61,AF,1701895511
48,thompson,55.7435,-97.8558,-3.91,93,75,4.63,CA,1701895511
49,isafjordur,66.0755,-23.124,-2.79,80,23,2.56,IS,1701895511
50,puerto natales,-51.7236,-72.4875,14.25,44,20,11.32,CL,1701895511
51,kone,-21.0595,164.8658,26.03,60,100,2.45,NC,1701895512
52,kuala lipis,4.1842,102.0468,22.66,99,100,0.64,MY,1701895512
53,blackmans bay,-43.0167,147.3167,13.18,67,100,0.89,AU,1701895512
54,yeppoon,-23.1333,150.7333,22.88,65,5,6.51,AU,1701895512
55,haiku-pauwela,20.9219,-156.3051,27.32,71,40,10.29,US,1701895513
56,bilibino,68.0546,166.4372,-30.81,99,100,1.85,RU,1701895513
57,saint-joseph,-21.3667,55.6167,24.71,78,48,2.73,RE,1701895513
58,kilju,40.9642,129.3278,-1.21,39,65,2.92,KP,1701895513
59,hithadhoo,-0.6,73.0833,28.33,77,39,5.0,MV,1701895514
60,margaret river,-33.95,115.0667,13.06,87,100,3.74,AU,1701895514
61,huangyan,28.6478,121.2594,7.77,79,0,1.37,CN,1701895515
62,ust'-ilimsk,58.0006,102.6619,-36.54,99,10,1.34,RU,1701895515
63,iskateley,67.6803,53.1512,-17.77,98,100,3.58,RU,1701895515
64,badger,64.8,-147.5333,-14.07,84,100,1.54,US,1701895515
65,uturoa,-16.7333,-151.4333,26.19,81,100,7.96,PF,1701895515
66,whitehorse,60.7161,-135.0538,-1.57,86,75,6.17,CA,1701895362
67,papatowai,-46.5619,169.4708,11.07,70,76,8.03,NZ,1701895516
68,priob'ye,62.5206,65.5964,-33.87,96,6,2.22,RU,1701895516
69,st. john's,47.5649,-52.7093,-3.35,81,40,3.6,CA,1701895516
70,arkalyk,50.2486,66.9114,-11.38,71,97,4.92,KZ,1701895279
71,scarborough,54.2797,-0.4044,2.31,87,64,4.74,GB,1701895517
72,waitangi,-43.9535,-176.5597,16.57,95,100,0.89,NZ,1701895517
73,freetown,8.484,-13.2299,27.84,69,40,5.14,SL,1701895518
74,selfoss,63.9331,-20.9971,-3.36,55,75,4.94,IS,1701895518
75,aasiaat,68.7098,-52.8699,-5.7,69,100,8.53,GL,1701895518
76,bethel,41.3712,-73.414,3.62,71,100,2.57,US,1701895518
77,la ronge,55.1001,-105.2842,4.14,60,75,5.14,CA,1701895519
78,bredasdorp,-34.5322,20.0403,17.57,86,35,4.69,ZA,1701895519
79,midvagur,62.0511,-7.1939,4.46,75,40,6.69,FO,1701895519
80,mount gambier,-37.8333,140.7667,12.26,69,100,1.44,AU,1701895519
81,lihue,21.9789,-159.3672,25.77,72,40,5.14,US,1701895462
82,brookings,44.3114,-96.7984,14.0,51,0,4.63,US,1701895429
83,fale old settlement,-9.3852,-171.2468,28.89,76,97,5.02,TK,1701895520
84,christiana,-27.914,25.1611,20.18,65,86,8.71,ZA,1701895520
85,port alfred,-33.5906,26.891,19.54,83,61,2.24,ZA,1701895520
86,kazerun,29.6195,51.6541,15.5,43,14,0.76,IR,1701895521
87,port elizabeth,-33.918,25.5701,20.61,94,100,8.75,ZA,1701895521
88,rongelap,11.1635,166.8941,27.46,79,100,10.27,MH,1701895521
